Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание
"Kultlab Amino Mix, 300 гр Апельсин";BCAA;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/139164741/detail.aspx;https://kultlab.ru/catalog/bcaa/kultlab-amino-mix-300-gr/;;"Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.";"Размер одной порции                                        : 10 грамм / 1,5 мерные ложкиKultlab Amino Mix — Уникальный комплекс аминокислот.ВСАА — комплекс, состоящий из незаменимых аминокислот с разветвленной цепочкой: L-лейцина, L-валина, L-изолейцина.На их долю приходится 42% от общего количества незаменимых аминокислот, которые присутствуют в мышечной ткани.При интенсивных тренировках именно их запасы существенно истощаются. BCAA предотвращают катаболизм за счет подавления выработки гормона кортизола и способствуют росту мышц. Поэтому прием ВСАА является рациональным решением для спортсменов.В состав Kultlab Amino Mix входят еще несколько важных аминокислот и витамин С:? L-глютамин уменьшает утомляемость и укрепляет иммунитет;? L-цитруллин увеличивает секрецию гормона роста, улучшает кровоснабжение мышц, обеспечивает пампинг и транспортировку питательных веществ в мышцы;? Бета-аланин снижает болевой порог и увеличивает выносливость, благодаря чему в спортзале ты больше напоминаешь машину, чем человека;? L-гистидин — это незаменимая аминокислота, которая ускоряет заживление ран, координирует механизмы роста, регулирует процессы восстановления, участвует в выработке гемоглобина, регулирует кислотность крови;? Витамин С замедляет старение, снижает риск развития хронических болезней, укрепляет иммунитет, улучшает усвоение железа, защищает сердечно-сосудистую систему.Kultlab Amino Mix отлично подойдет бодибилдерам и спортсменам, которые занимаются функциональными тренировками.Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.iИндивидуальная непереносимость компонентов добавки."
"Kultlab Amino Mix, 300 гр Вишня";BCAA;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/139164741/detail.aspx;https://kultlab.ru/catalog/bcaa/kultlab-amino-mix-300-gr/;;"Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.";"Размер одной порции                                        : 10 грамм / 1,5 мерные ложкиKultlab Amino Mix — Уникальный комплекс аминокислот.ВСАА — комплекс, состоящий из незаменимых аминокислот с разветвленной цепочкой: L-лейцина, L-валина, L-изолейцина.На их долю приходится 42% от общего количества незаменимых аминокислот, которые присутствуют в мышечной ткани.При интенсивных тренировках именно их запасы существенно истощаются. BCAA предотвращают катаболизм за счет подавления выработки гормона кортизола и способствуют росту мышц. Поэтому прием ВСАА является рациональным решением для спортсменов.В состав Kultlab Amino Mix входят еще несколько важных аминокислот и витамин С:? L-глютамин уменьшает утомляемость и укрепляет иммунитет;? L-цитруллин увеличивает секрецию гормона роста, улучшает кровоснабжение мышц, обеспечивает пампинг и транспортировку питательных веществ в мышцы;? Бета-аланин снижает болевой порог и увеличивает выносливость, благодаря чему в спортзале ты больше напоминаешь машину, чем человека;? L-гистидин — это незаменимая аминокислота, которая ускоряет заживление ран, координирует механизмы роста, регулирует процессы восстановления, участвует в выработке гемоглобина, регулирует кислотность крови;? Витамин С замедляет старение, снижает риск развития хронических болезней, укрепляет иммунитет, улучшает усвоение железа, защищает сердечно-сосудистую систему.Kultlab Amino Mix отлично подойдет бодибилдерам и спортсменам, которые занимаются функциональными тренировками.Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.iИндивидуальная непереносимость компонентов добавки."
"Kultlab Amino Mix, 300 гр Ананас";BCAA;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/139164741/detail.aspx;https://kultlab.ru/catalog/bcaa/kultlab-amino-mix-300-gr/;;"Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.";"Размер одной порции                                        : 10 грамм / 1,5 мерные ложкиKultlab Amino Mix — Уникальный комплекс аминокислот.ВСАА — комплекс, состоящий из незаменимых аминокислот с разветвленной цепочкой: L-лейцина, L-валина, L-изолейцина.На их долю приходится 42% от общего количества незаменимых аминокислот, которые присутствуют в мышечной ткани.При интенсивных тренировках именно их запасы существенно истощаются. BCAA предотвращают катаболизм за счет подавления выработки гормона кортизола и способствуют росту мышц. Поэтому прием ВСАА является рациональным решением для спортсменов.В состав Kultlab Amino Mix входят еще несколько важных аминокислот и витамин С:? L-глютамин уменьшает утомляемость и укрепляет иммунитет;? L-цитруллин увеличивает секрецию гормона роста, улучшает кровоснабжение мышц, обеспечивает пампинг и транспортировку питательных веществ в мышцы;? Бета-аланин снижает болевой порог и увеличивает выносливость, благодаря чему в спортзале ты больше напоминаешь машину, чем человека;? L-гистидин — это незаменимая аминокислота, которая ускоряет заживление ран, координирует механизмы роста, регулирует процессы восстановления, участвует в выработке гемоглобина, регулирует кислотность крови;? Витамин С замедляет старение, снижает риск развития хронических болезней, укрепляет иммунитет, улучшает усвоение железа, защищает сердечно-сосудистую систему.Kultlab Amino Mix отлично подойдет бодибилдерам и спортсменам, которые занимаются функциональными тренировками.Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.iИндивидуальная непереносимость компонентов добавки."
"Kultlab Amino Mix, 300 гр Яблоко";BCAA;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/139164741/detail.aspx;https://kultlab.ru/catalog/bcaa/kultlab-amino-mix-300-gr/;;"Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.";"Размер одной порции                                        : 10 грамм / 1,5 мерные ложкиKultlab Amino Mix — Уникальный комплекс аминокислот.ВСАА — комплекс, состоящий из незаменимых аминокислот с разветвленной цепочкой: L-лейцина, L-валина, L-изолейцина.На их долю приходится 42% от общего количества незаменимых аминокислот, которые присутствуют в мышечной ткани.При интенсивных тренировках именно их запасы существенно истощаются. BCAA предотвращают катаболизм за счет подавления выработки гормона кортизола и способствуют росту мышц. Поэтому прием ВСАА является рациональным решением для спортсменов.В состав Kultlab Amino Mix входят еще несколько важных аминокислот и витамин С:? L-глютамин уменьшает утомляемость и укрепляет иммунитет;? L-цитруллин увеличивает секрецию гормона роста, улучшает кровоснабжение мышц, обеспечивает пампинг и транспортировку питательных веществ в мышцы;? Бета-аланин снижает болевой порог и увеличивает выносливость, благодаря чему в спортзале ты больше напоминаешь машину, чем человека;? L-гистидин — это незаменимая аминокислота, которая ускоряет заживление ран, координирует механизмы роста, регулирует процессы восстановления, участвует в выработке гемоглобина, регулирует кислотность крови;? Витамин С замедляет старение, снижает риск развития хронических болезней, укрепляет иммунитет, улучшает усвоение железа, защищает сердечно-сосудистую систему.Kultlab Amino Mix отлично подойдет бодибилдерам и спортсменам, которые занимаются функциональными тренировками.Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.iИндивидуальная непереносимость компонентов добавки."
"Kultlab BCAA, 300 гр Манго";BCAA;Аминокислоты;"Индивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью.";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-300-gr/;;1-2 порции в день. Смешать одну порцию продукта (2 мерные ложки) с 200-300 мл воды;"Размер одной порции                                        : 2 мерные ложки100% BCAA КУЛЬТЛАБ - это кристально чистые порошковые Л-аминоксилоты БЦАА в соотношении 2:1:1 (Л-лейцин, Л-валин, Л-изолейцин).Аминокислоты БЦАА одна из самых полезных и эффективных добавок для спортсмена. Незаменимые аминокислоты не могут вырабатываться в организме. Получить их можно только полноценной белковой пищи.БЦАА (3 основные аминокислоты, L-лейцин, L-валин и L-изолейцин), которые непосредственно связаны с мышечным ростом и ускорением восстановления после физических нагрузок. Это проверенная формула, чтобы стимулировать синтез белка. Принимая БЦАА во время или после тренировки вы предотвращаете потерю мышечной массы и улучшаете весь процесс восстановления мышц. БЦАА также помогают уменьшить боли в мышцах и повышают запасы гликогена.Аминокислоты с разветвленной цепью (БЦАА) имеют особое значение для спортсменов, потому что они метаболизируються в мышцах, а не в печени.iИндивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью."
"Kultlab BCAA, 300 гр Ананас";BCAA;Аминокислоты;"Индивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью.";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-300-gr/;;1-2 порции в день. Смешать одну порцию продукта (2 мерные ложки) с 200-300 мл воды;"Размер одной порции                                        : 2 мерные ложки100% BCAA КУЛЬТЛАБ - это кристально чистые порошковые Л-аминоксилоты БЦАА в соотношении 2:1:1 (Л-лейцин, Л-валин, Л-изолейцин).Аминокислоты БЦАА одна из самых полезных и эффективных добавок для спортсмена. Незаменимые аминокислоты не могут вырабатываться в организме. Получить их можно только полноценной белковой пищи.БЦАА (3 основные аминокислоты, L-лейцин, L-валин и L-изолейцин), которые непосредственно связаны с мышечным ростом и ускорением восстановления после физических нагрузок. Это проверенная формула, чтобы стимулировать синтез белка. Принимая БЦАА во время или после тренировки вы предотвращаете потерю мышечной массы и улучшаете весь процесс восстановления мышц. БЦАА также помогают уменьшить боли в мышцах и повышают запасы гликогена.Аминокислоты с разветвленной цепью (БЦАА) имеют особое значение для спортсменов, потому что они метаболизируються в мышцах, а не в печени.iИндивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью."
"Kultlab BCAA, 300 гр Кола";BCAA;Аминокислоты;"Индивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью.";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-300-gr/;;1-2 порции в день. Смешать одну порцию продукта (2 мерные ложки) с 200-300 мл воды;"Размер одной порции                                        : 2 мерные ложки100% BCAA КУЛЬТЛАБ - это кристально чистые порошковые Л-аминоксилоты БЦАА в соотношении 2:1:1 (Л-лейцин, Л-валин, Л-изолейцин).Аминокислоты БЦАА одна из самых полезных и эффективных добавок для спортсмена. Незаменимые аминокислоты не могут вырабатываться в организме. Получить их можно только полноценной белковой пищи.БЦАА (3 основные аминокислоты, L-лейцин, L-валин и L-изолейцин), которые непосредственно связаны с мышечным ростом и ускорением восстановления после физических нагрузок. Это проверенная формула, чтобы стимулировать синтез белка. Принимая БЦАА во время или после тренировки вы предотвращаете потерю мышечной массы и улучшаете весь процесс восстановления мышц. БЦАА также помогают уменьшить боли в мышцах и повышают запасы гликогена.Аминокислоты с разветвленной цепью (БЦАА) имеют особое значение для спортсменов, потому что они метаболизируються в мышцах, а не в печени.iИндивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью."
"Kultlab BCAA, 300 гр Арбуз";BCAA;Аминокислоты;"Индивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью.";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-300-gr/;;1-2 порции в день. Смешать одну порцию продукта (2 мерные ложки) с 200-300 мл воды;"Размер одной порции                                        : 2 мерные ложки100% BCAA КУЛЬТЛАБ - это кристально чистые порошковые Л-аминоксилоты БЦАА в соотношении 2:1:1 (Л-лейцин, Л-валин, Л-изолейцин).Аминокислоты БЦАА одна из самых полезных и эффективных добавок для спортсмена. Незаменимые аминокислоты не могут вырабатываться в организме. Получить их можно только полноценной белковой пищи.БЦАА (3 основные аминокислоты, L-лейцин, L-валин и L-изолейцин), которые непосредственно связаны с мышечным ростом и ускорением восстановления после физических нагрузок. Это проверенная формула, чтобы стимулировать синтез белка. Принимая БЦАА во время или после тренировки вы предотвращаете потерю мышечной массы и улучшаете весь процесс восстановления мышц. БЦАА также помогают уменьшить боли в мышцах и повышают запасы гликогена.Аминокислоты с разветвленной цепью (БЦАА) имеют особое значение для спортсменов, потому что они метаболизируються в мышцах, а не в печени.iИндивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью."
"Kultlab BCAA, 300 гр Яблоко";BCAA;Аминокислоты;"Индивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью.";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-300-gr/;;1-2 порции в день. Смешать одну порцию продукта (2 мерные ложки) с 200-300 мл воды;"Размер одной порции                                        : 2 мерные ложки100% BCAA КУЛЬТЛАБ - это кристально чистые порошковые Л-аминоксилоты БЦАА в соотношении 2:1:1 (Л-лейцин, Л-валин, Л-изолейцин).Аминокислоты БЦАА одна из самых полезных и эффективных добавок для спортсмена. Незаменимые аминокислоты не могут вырабатываться в организме. Получить их можно только полноценной белковой пищи.БЦАА (3 основные аминокислоты, L-лейцин, L-валин и L-изолейцин), которые непосредственно связаны с мышечным ростом и ускорением восстановления после физических нагрузок. Это проверенная формула, чтобы стимулировать синтез белка. Принимая БЦАА во время или после тренировки вы предотвращаете потерю мышечной массы и улучшаете весь процесс восстановления мышц. БЦАА также помогают уменьшить боли в мышцах и повышают запасы гликогена.Аминокислоты с разветвленной цепью (БЦАА) имеют особое значение для спортсменов, потому что они метаболизируються в мышцах, а не в печени.iИндивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью."
"Kultlab BCAA, 300 гр Бабл-гам";BCAA;Аминокислоты;"Индивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью.";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-300-gr/;;1-2 порции в день. Смешать одну порцию продукта (2 мерные ложки) с 200-300 мл воды;"Размер одной порции                                        : 2 мерные ложки100% BCAA КУЛЬТЛАБ - это кристально чистые порошковые Л-аминоксилоты БЦАА в соотношении 2:1:1 (Л-лейцин, Л-валин, Л-изолейцин).Аминокислоты БЦАА одна из самых полезных и эффективных добавок для спортсмена. Незаменимые аминокислоты не могут вырабатываться в организме. Получить их можно только полноценной белковой пищи.БЦАА (3 основные аминокислоты, L-лейцин, L-валин и L-изолейцин), которые непосредственно связаны с мышечным ростом и ускорением восстановления после физических нагрузок. Это проверенная формула, чтобы стимулировать синтез белка. Принимая БЦАА во время или после тренировки вы предотвращаете потерю мышечной массы и улучшаете весь процесс восстановления мышц. БЦАА также помогают уменьшить боли в мышцах и повышают запасы гликогена.Аминокислоты с разветвленной цепью (БЦАА) имеют особое значение для спортсменов, потому что они метаболизируються в мышцах, а не в печени.iИндивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью."
"Kultlab BCAA, 300 гр Апельсин";BCAA;Аминокислоты;"Индивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью.";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-300-gr/;;1-2 порции в день. Смешать одну порцию продукта (2 мерные ложки) с 200-300 мл воды;"Размер одной порции                                        : 2 мерные ложки100% BCAA КУЛЬТЛАБ - это кристально чистые порошковые Л-аминоксилоты БЦАА в соотношении 2:1:1 (Л-лейцин, Л-валин, Л-изолейцин).Аминокислоты БЦАА одна из самых полезных и эффективных добавок для спортсмена. Незаменимые аминокислоты не могут вырабатываться в организме. Получить их можно только полноценной белковой пищи.БЦАА (3 основные аминокислоты, L-лейцин, L-валин и L-изолейцин), которые непосредственно связаны с мышечным ростом и ускорением восстановления после физических нагрузок. Это проверенная формула, чтобы стимулировать синтез белка. Принимая БЦАА во время или после тренировки вы предотвращаете потерю мышечной массы и улучшаете весь процесс восстановления мышц. БЦАА также помогают уменьшить боли в мышцах и повышают запасы гликогена.Аминокислоты с разветвленной цепью (БЦАА) имеют особое значение для спортсменов, потому что они метаболизируються в мышцах, а не в печени.iИндивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью."
"Kultlab BCAA без вкуса, 300 гр";BCAA;Аминокислоты;"Индивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью.";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-bez-vkusa-300-gr/;;1-2 порции в день. Смешать одну порцию продукта (2 мерные ложки) с 200-300 мл воды;"Размер одной порции                                        : 2 мерные ложки100% BCAA КУЛЬТЛАБ - это кристально чистые порошковые Л-аминоксилоты БЦАА в соотношении 2:1:1 (Л-лейцин, Л-валин, Л-изолейцин).Аминокислоты БЦАА одна из самых полезных и эффективных добавок для спортсмена. Незаменимые аминокислоты не могут вырабатываться в организме. Получить их можно только полноценной белковой пищи.БЦАА (3 основные аминокислоты, L-лейцин, L-валин и L-изолейцин), которые непосредственно связаны с мышечным ростом и ускорением восстановления после физических нагрузок. Это проверенная формула, чтобы стимулировать синтез белка. Принимая БЦАА во время или после тренировки вы предотвращаете потерю мышечной массы и улучшаете весь процесс восстановления мышц. БЦАА также помогают уменьшить боли в мышцах и повышают запасы гликогена.Аминокислоты с разветвленной цепью (БЦАА) имеют особое значение для спортсменов, потому что они метаболизируються в мышцах, а не в печени.iИндивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью."
"Kultlab BCAA, 400 капс";BCAA;Аминокислоты;"Продукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!
";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-400-kaps/;;"Принимать 5 капсул в день с утра натощак, либо после тренировки ";"Размер одной порции                                        : 5 капсул100% BCAA КУЛЬТЛАБ - это кристально чистые порошковые Л-аминоксилоты БЦАА в соотношении 2:1:1 (Л-лейцин, Л-валин, Л-изолейцин).Аминокислоты БЦАА одна из самых полезных и эффективных добавок для спортсмена. Незаменимые аминокислоты не могут вырабатываться в организме. Получить их можно только полноценной белковой пищи.БЦАА (3 основные аминокислоты, L-лейцин, L-валин и L-изолейцин), которые непосредственно связаны с мышечным ростом и ускорением восстановления после физических нагрузок. Это проверенная формула, чтобы стимулировать синтез белка. Принимая БЦАА во время или после тренировки вы предотвращаете потерю мышечной массы и улучшаете весь процесс восстановления мышц. БЦАА также помогают уменьшить боли в мышцах и повышают запасы гликогена.Аминокислоты с разветвленной цепью (БЦАА) имеют особое значение для спортсменов, потому что они метаболизируются в мышцах, а не в печени.iПродукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!"
"Kultlab BCAA, 450 гр Ананас";BCAA;Аминокислоты;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-450-gr/;;"Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.";"Размер одной порции                                        : 2 мерные ложкиKultlab BCAA — это комплекс трех незаменимых аминокислот с разветвленной углеродной цепью. L-лейцин, L-изолейцин, L-валин важны для синтеза белка и роста мышц.ВСАА после активных физических нагрузок в период отдыха служит важным материалом для быстрого восстановления и «строительства» мышц.Эффект применения комплекса для спортсменов:- растет «сухая» мышечная масса;- повышаются показатели работоспособности и мышечной силы;- снижается процент подкожного жира;- ускоряется процесс восстановления после тренировок;- предупреждается катаболический эффект;- увеличивается энергетический потенциал;- улучшается умственная производительность;- растет иммунная защита;- повышается концентрация внимания и стабилизируется эмоциональный фон.Рекомендации по применению:Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab BCAA, 450 гр Арбуз";BCAA;Аминокислоты;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-450-gr/;;"Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.";"Размер одной порции                                        : 2 мерные ложкиKultlab BCAA — это комплекс трех незаменимых аминокислот с разветвленной углеродной цепью. L-лейцин, L-изолейцин, L-валин важны для синтеза белка и роста мышц.ВСАА после активных физических нагрузок в период отдыха служит важным материалом для быстрого восстановления и «строительства» мышц.Эффект применения комплекса для спортсменов:- растет «сухая» мышечная масса;- повышаются показатели работоспособности и мышечной силы;- снижается процент подкожного жира;- ускоряется процесс восстановления после тренировок;- предупреждается катаболический эффект;- увеличивается энергетический потенциал;- улучшается умственная производительность;- растет иммунная защита;- повышается концентрация внимания и стабилизируется эмоциональный фон.Рекомендации по применению:Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab BCAA, 450 гр Бабл-Гам";BCAA;Аминокислоты;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-450-gr/;;"Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.";"Размер одной порции                                        : 2 мерные ложкиKultlab BCAA — это комплекс трех незаменимых аминокислот с разветвленной углеродной цепью. L-лейцин, L-изолейцин, L-валин важны для синтеза белка и роста мышц.ВСАА после активных физических нагрузок в период отдыха служит важным материалом для быстрого восстановления и «строительства» мышц.Эффект применения комплекса для спортсменов:- растет «сухая» мышечная масса;- повышаются показатели работоспособности и мышечной силы;- снижается процент подкожного жира;- ускоряется процесс восстановления после тренировок;- предупреждается катаболический эффект;- увеличивается энергетический потенциал;- улучшается умственная производительность;- растет иммунная защита;- повышается концентрация внимания и стабилизируется эмоциональный фон.Рекомендации по применению:Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
