Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание
"Kultlab BCAA, 450 гр Арбуз";BCAA;Аминокислоты;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-450-gr/;;"Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.";"Размер одной порции                                        : 2 мерные ложкиKultlab BCAA — это комплекс трех незаменимых аминокислот с разветвленной углеродной цепью. L-лейцин, L-изолейцин, L-валин важны для синтеза белка и роста мышц.ВСАА после активных физических нагрузок в период отдыха служит важным материалом для быстрого восстановления и «строительства» мышц.Эффект применения комплекса для спортсменов:- растет «сухая» мышечная масса;- повышаются показатели работоспособности и мышечной силы;- снижается процент подкожного жира;- ускоряется процесс восстановления после тренировок;- предупреждается катаболический эффект;- увеличивается энергетический потенциал;- улучшается умственная производительность;- растет иммунная защита;- повышается концентрация внимания и стабилизируется эмоциональный фон.Рекомендации по применению:Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab BCAA, 450 гр Бабл-Гам";BCAA;Аминокислоты;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-450-gr/;;"Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.";"Размер одной порции                                        : 2 мерные ложкиKultlab BCAA — это комплекс трех незаменимых аминокислот с разветвленной углеродной цепью. L-лейцин, L-изолейцин, L-валин важны для синтеза белка и роста мышц.ВСАА после активных физических нагрузок в период отдыха служит важным материалом для быстрого восстановления и «строительства» мышц.Эффект применения комплекса для спортсменов:- растет «сухая» мышечная масса;- повышаются показатели работоспособности и мышечной силы;- снижается процент подкожного жира;- ускоряется процесс восстановления после тренировок;- предупреждается катаболический эффект;- увеличивается энергетический потенциал;- улучшается умственная производительность;- растет иммунная защита;- повышается концентрация внимания и стабилизируется эмоциональный фон.Рекомендации по применению:Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab BCAA, 450 гр Кола";BCAA;Аминокислоты;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-450-gr/;;"Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.";"Размер одной порции                                        : 2 мерные ложкиKultlab BCAA — это комплекс трех незаменимых аминокислот с разветвленной углеродной цепью. L-лейцин, L-изолейцин, L-валин важны для синтеза белка и роста мышц.ВСАА после активных физических нагрузок в период отдыха служит важным материалом для быстрого восстановления и «строительства» мышц.Эффект применения комплекса для спортсменов:- растет «сухая» мышечная масса;- повышаются показатели работоспособности и мышечной силы;- снижается процент подкожного жира;- ускоряется процесс восстановления после тренировок;- предупреждается катаболический эффект;- увеличивается энергетический потенциал;- улучшается умственная производительность;- растет иммунная защита;- повышается концентрация внимания и стабилизируется эмоциональный фон.Рекомендации по применению:Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab BCAA, 450 гр Яблоко";BCAA;Аминокислоты;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-450-gr/;;"Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.";"Размер одной порции                                        : 2 мерные ложкиKultlab BCAA — это комплекс трех незаменимых аминокислот с разветвленной углеродной цепью. L-лейцин, L-изолейцин, L-валин важны для синтеза белка и роста мышц.ВСАА после активных физических нагрузок в период отдыха служит важным материалом для быстрого восстановления и «строительства» мышц.Эффект применения комплекса для спортсменов:- растет «сухая» мышечная масса;- повышаются показатели работоспособности и мышечной силы;- снижается процент подкожного жира;- ускоряется процесс восстановления после тренировок;- предупреждается катаболический эффект;- увеличивается энергетический потенциал;- улучшается умственная производительность;- растет иммунная защита;- повышается концентрация внимания и стабилизируется эмоциональный фон.Рекомендации по применению:Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab BCAA, 450 гр Манго";BCAA;Аминокислоты;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-450-gr/;;"Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.";"Размер одной порции                                        : 2 мерные ложкиKultlab BCAA — это комплекс трех незаменимых аминокислот с разветвленной углеродной цепью. L-лейцин, L-изолейцин, L-валин важны для синтеза белка и роста мышц.ВСАА после активных физических нагрузок в период отдыха служит важным материалом для быстрого восстановления и «строительства» мышц.Эффект применения комплекса для спортсменов:- растет «сухая» мышечная масса;- повышаются показатели работоспособности и мышечной силы;- снижается процент подкожного жира;- ускоряется процесс восстановления после тренировок;- предупреждается катаболический эффект;- увеличивается энергетический потенциал;- улучшается умственная производительность;- растет иммунная защита;- повышается концентрация внимания и стабилизируется эмоциональный фон.Рекомендации по применению:Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab BCAA, 450 гр Апельсин";BCAA;Аминокислоты;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-450-gr/;;"Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.";"Размер одной порции                                        : 2 мерные ложкиKultlab BCAA — это комплекс трех незаменимых аминокислот с разветвленной углеродной цепью. L-лейцин, L-изолейцин, L-валин важны для синтеза белка и роста мышц.ВСАА после активных физических нагрузок в период отдыха служит важным материалом для быстрого восстановления и «строительства» мышц.Эффект применения комплекса для спортсменов:- растет «сухая» мышечная масса;- повышаются показатели работоспособности и мышечной силы;- снижается процент подкожного жира;- ускоряется процесс восстановления после тренировок;- предупреждается катаболический эффект;- увеличивается энергетический потенциал;- улучшается умственная производительность;- растет иммунная защита;- повышается концентрация внимания и стабилизируется эмоциональный фон.Рекомендации по применению:Смешать одну порцию (2 мерные ложки) с 150-250 мл воды. В дни тренировок рекомендуется принимать одну порцию до физических нагрузок за 10-30 минут, вторую — сразу после тренировки. В дни отдыха принимать 1 порцию два раза в день между приемами пищи.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab L-Lysine, 100капс";Аминокислоты отдельные;Аминокислоты;"Индивидальная непереносимость, беременность, возраст до 12 лет.
";;;https://kultlab.ru/catalog/aminokisloty-otdelnye/kultlab-l-lysine-100-kaps/;;L-Лизин принимать по 1 капсуле 1-3 раза в день между приёмами пищи. В период ремиссии герпетической инфекции - 1250 мг ежедневно. При рецидивах - 2000-3000 мг/сутки. В спорте рекомендован приём 12 мг на килограмм веса. При длительном употреблении L-Лизин не накапливается и не оказывает токсического действия на организм - он используется в качестве источника энергии. Избыток L-Лизина выводится с мочой.;"Размер одной порции                                        : 1 капсулаL-ЛИЗИН - незаменимая аминокислота и строительный блок всех белков. Незаменим при синтезе мышечных волокон и формировании мышечной ткани.Является основой для синтеза аминокислоты Карнитин. Обладает противовирусным действием, особенно в отношении вирусов герпеса.L-Лизин является мощным источником энергии, так как он участвует в расщеплении жиров, которые являются ""топливом"" для организма. Обеспечивает мобилизацию жира для энергетических нужд.Рекомендации по применению:L-Лизин принимать по 1 капсуле 1-3 раза в день между приёмами пищи. В период ремиссии герпетической инфекции - 1250 мг ежедневно. При рецидивах - 2000-3000 мг/сутки. В спорте рекомендован приём 12 мг на килограмм веса. При длительном употреблении L-Лизин не накапливается и не оказывает токсического действия на организм - он используется в качестве источника энергии. Избыток L-Лизина выводится с мочой.iИндивидальная непереносимость, беременность, возраст до 12 лет."
"Kultlab Taurine 500 мг, 90 капс";Аминокислоты отдельные;Аминокислоты;"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/aminokisloty-otdelnye/kultlab-taurine-500-mg-90-kaps/;;"Принимать по 1 капсуле 1-4 раза в день, запивая соком или водой, желательно между приемами пищи.
";"Размер одной порции                                        : 1 капсулаТаурин от Kultlab - условно незаменимая аминокислота, которая не используется для синтеза белка, однако главным образом обнаруживается в свободной форме в большинстве тканей, особенно в нервной системе. Этот элемент стабилизирует клеточные мембраны тканей, облегчая процесс перемещения калия, натрия, кальция и магния в клетках и за их пределами. Таурин способствует генерации и регуляции нервнх импульсов, а также обеспечивает поддержку нормального водного баланса. Кроме того, эта аминокислота используется в зрительных путях, а также в мозговой и нервной системах, где совместно с глицином и ГАМК выступает в роли нейромедиатора.Рекомендации по применению:Принимать по 1 капсуле 1-4 раза в день, запивая соком или водой, желательно между приемами пищи.iИндивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом."
"Kultlab Габа 500 мг, 90 капс";Аминокислоты отдельные;Аминокислоты;"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/aminokisloty-otdelnye/kultlab-gaba-500-mg-90-kaps/;;Принимать 3 капсулы за 20 минут до сна;"Размер одной порции                                        : Принимать по 3 капсулы на ночь за 30 мин. до сна. Может вызывать легкие покалывания по телуGABA (ГАМК - Гамма аминомасляная кислота) - ноотропное средство, восстанавливает процессы метаболизма в головном мозге, способствует утилизации глюкозы мозгом и удалению из него токсичных продуктов обмена. Повышает продуктивность мышления, улучшает память, благоприятно влияет на восстановление движений и речи после нарушения мозгового кровообращения.Показания к применению:• Остаточные явления черепно-мозговой травмы;• Инсульт;• Цереброваскулярная недостаточность;• Дисциркулярная энцефалопатия;• Нарушения памяти, внимания, речи;• Головокружения и головная боль;• Алкогольная энцефалопатия;• Алкогольная полиневропатия;• Детский целебральный паралич;• Последствия черепно-мозговой родовой травмы у детей;• Умственная отсталость;• Симптомокомплекс укачивания (морская и воздушная болезнь)."
"Kultlab Citrulline Malate, 200 гр
";"Цитрулин
";Аминокислоты;Перед употреблением проконсультироваться со специалистом.;;;https://kultlab.ru/catalog/tsitrulin/kultlab-citrulline-malate-200-gr/;;"Принимайте по 1 мерной ложке (2 гр) 2-3 раза в день, обильно запивая водой";"Размер одной порции                                        : по 1.85 гр порошка (0.5 мерной ложки) 1 раз в день, запивая водой или сокомCITRULLINE MALATE / ЦИТРУЛЛИН - аминокислота, которая не входит в состав строительных белков, однако имеет большое число физиологических эффектов:• Цитруллин укрепляет имунную функцию и увеличивает энергетический потенциал организма.• Цитруллин встречается в специализированных энзимах, входит в состав кожи, волос и оболочки нервов.• Цитруллин необходим для поддержания азотистого баланса в организме.• Из цитруллина может образовываться аргинин - основной донатор азота, который улучшает кровоток в мышцах.• Повышает выносливость и улучшает питание мышц.Рекомендации по применению:Принимайте по 1 мерной ложке (2 гр) 2-3 раза в день, обильно запивая водой. Перед употреблением проконсультироваться со специалистом."
"Kultlab Mass Gainer, 1000 гр
Ваниль
";Гейнеры;Высокобелковые гейнеры на медленных углеводах;"Индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;;https://kultlab.ru/catalog/vysokobelkovye-geynery-na-slozhnykh-uglevodakh/kultlab-mass-gainer-1000-gr/;;" для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи.";"Размер одной порции                                        : 2 мерные ложки / 90 граммВысокоуглеводный гейнер с комплексной углеводной и белковой матрицами. Белковая матрица состоит в основном из сывороточного и долго усваиваемого протеина, нацелена на поддержание положительного азотистого баланса в течение долгого времени. Углеводная матрица практически не содержит сахара и скомбинирована из проросших рисовых отрубей и сложных углеводов, выделенных из зерновых. Она пополняет запасы гликогена и поддерживает интенсивный рост мышц.Каждая порция KultMass дополнительно обогащена креатином для улучшения выносливости и роста силовых показателей.Рекомендации по применению: для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи.iИндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab Mass Gainer, 1000 гр
Шоколад - Фундук
";Гейнеры;Высокобелковые гейнеры на медленных углеводах;"Индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;;https://kultlab.ru/catalog/vysokobelkovye-geynery-na-slozhnykh-uglevodakh/kultlab-mass-gainer-1000-gr/;;" для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи.";"Размер одной порции                                        : 2 мерные ложки / 90 граммВысокоуглеводный гейнер с комплексной углеводной и белковой матрицами. Белковая матрица состоит в основном из сывороточного и долго усваиваемого протеина, нацелена на поддержание положительного азотистого баланса в течение долгого времени. Углеводная матрица практически не содержит сахара и скомбинирована из проросших рисовых отрубей и сложных углеводов, выделенных из зерновых. Она пополняет запасы гликогена и поддерживает интенсивный рост мышц.Каждая порция KultMass дополнительно обогащена креатином для улучшения выносливости и роста силовых показателей.Рекомендации по применению: для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи.iИндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab Mass Gainer, 1000 гр
Шоколад
";Гейнеры;Высокобелковые гейнеры на медленных углеводах;"Индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;;https://kultlab.ru/catalog/vysokobelkovye-geynery-na-slozhnykh-uglevodakh/kultlab-mass-gainer-1000-gr/;;" для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи.";"Размер одной порции                                        : 2 мерные ложки / 90 граммВысокоуглеводный гейнер с комплексной углеводной и белковой матрицами. Белковая матрица состоит в основном из сывороточного и долго усваиваемого протеина, нацелена на поддержание положительного азотистого баланса в течение долгого времени. Углеводная матрица практически не содержит сахара и скомбинирована из проросших рисовых отрубей и сложных углеводов, выделенных из зерновых. Она пополняет запасы гликогена и поддерживает интенсивный рост мышц.Каждая порция KultMass дополнительно обогащена креатином для улучшения выносливости и роста силовых показателей.Рекомендации по применению: для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи.iИндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab Mass Gainer bag, 1000 гр
Шоколад - Фундук
";Гейнеры;Высокобелковые гейнеры на медленных углеводах;"Индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;;https://kultlab.ru/catalog/vysokobelkovye-geynery-na-slozhnykh-uglevodakh/kultlab-mass-gainer-bag-1000-gr/;;"для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи.";"Размер одной порции                                        : 90 грамм (2 мерные ложки)Размер одной порции : 2 мерные ложки / 90 граммВысокоуглеводный гейнер с комплексной углеводной и белковой матрицами. Белковая матрица состоит в основном из сывороточного и долго усваиваемого протеина, нацелена на поддержание положительного азотистого баланса в течение долгого времени. Углеводная матрица практически не содержит сахара и скомбинирована из проросших рисовых отрубей и сложных углеводов, выделенных из зерновых. Она пополняет запасы гликогена и поддерживает интенсивный рост мышц.Каждая порция KultMass дополнительно обогащена креатином для улучшения выносливости и роста силовых показателей.Рекомендации по применению: для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи."
"Kultlab Mass Gainer bag, 1000 гр
Шоколад - Фундук
";Гейнеры;Высокобелковые гейнеры на медленных углеводах;"Индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;;https://kultlab.ru/catalog/vysokobelkovye-geynery-na-slozhnykh-uglevodakh/kultlab-mass-gainer-bag-1000-gr/;;"для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи.";"Размер одной порции                                        : 90 грамм (2 мерные ложки)Размер одной порции : 2 мерные ложки / 90 граммВысокоуглеводный гейнер с комплексной углеводной и белковой матрицами. Белковая матрица состоит в основном из сывороточного и долго усваиваемого протеина, нацелена на поддержание положительного азотистого баланса в течение долгого времени. Углеводная матрица практически не содержит сахара и скомбинирована из проросших рисовых отрубей и сложных углеводов, выделенных из зерновых. Она пополняет запасы гликогена и поддерживает интенсивный рост мышц.Каждая порция KultMass дополнительно обогащена креатином для улучшения выносливости и роста силовых показателей.Рекомендации по применению: для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи."
"Kultlab Mass Gainer bag, 1000 гр
Клубника
";Гейнеры;Высокобелковые гейнеры на медленных углеводах;"Индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;;https://kultlab.ru/catalog/vysokobelkovye-geynery-na-slozhnykh-uglevodakh/kultlab-mass-gainer-bag-1000-gr/;;"для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи.";"Размер одной порции                                        : 90 грамм (2 мерные ложки)Размер одной порции : 2 мерные ложки / 90 граммВысокоуглеводный гейнер с комплексной углеводной и белковой матрицами. Белковая матрица состоит в основном из сывороточного и долго усваиваемого протеина, нацелена на поддержание положительного азотистого баланса в течение долгого времени. Углеводная матрица практически не содержит сахара и скомбинирована из проросших рисовых отрубей и сложных углеводов, выделенных из зерновых. Она пополняет запасы гликогена и поддерживает интенсивный рост мышц.Каждая порция KultMass дополнительно обогащена креатином для улучшения выносливости и роста силовых показателей.Рекомендации по применению: для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи."
"Kultlab Mass Gainer bag, 1000 гр
Ваниль";Гейнеры;Высокобелковые гейнеры на медленных углеводах;"Индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;;https://kultlab.ru/catalog/vysokobelkovye-geynery-na-slozhnykh-uglevodakh/kultlab-mass-gainer-bag-1000-gr/;;"для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи.";"Размер одной порции                                        : 90 грамм (2 мерные ложки)Размер одной порции : 2 мерные ложки / 90 граммВысокоуглеводный гейнер с комплексной углеводной и белковой матрицами. Белковая матрица состоит в основном из сывороточного и долго усваиваемого протеина, нацелена на поддержание положительного азотистого баланса в течение долгого времени. Углеводная матрица практически не содержит сахара и скомбинирована из проросших рисовых отрубей и сложных углеводов, выделенных из зерновых. Она пополняет запасы гликогена и поддерживает интенсивный рост мышц.Каждая порция KultMass дополнительно обогащена креатином для улучшения выносливости и роста силовых показателей.Рекомендации по применению: для получения одной порции смешать 2 черпака (90 гр) порошка с 250-500мл воды либо молока. Принимать за 1-1,5 часа до тренировки и в течение 30 минут после. Можно добавить еще один прием утром. В дни отдыха - один прием утром и второй между любыми приемами пищи."
